Keyword,Difficulty,"Search vol.",Position,"Previous position",Competition,CPC,URL,Traffic,"Traffic share","Traffic cost"
hotelscombined,77,4900,29,30,0.39,0.37,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/360015473294-How-to-connect-Revato-by-HotelsCombined-with-myfrontdesk,49,13.32,18.13
cloudbeds,16,150,1,1,0.25,0.96,https://www.cloudbeds.com/,48,13.04,46.8
"cloudbeds login",43,110,1,1,0.00,N/A,https://hotels.cloudbeds.com/,35,9.51,0
"booking-com extranet",71,1100,11,11,0.00,N/A,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/211857268-How-to-Connect-Booking-com-to-myfrontdesk,11,2.99,0
"kinlay hostel",54,1000,24,23,0.37,1.15,https://hotels.cloudbeds.com/reservation/tadjBQ,10,2.72,11.5
"jacobs inn dublin",9,880,21,62,0.34,1.25,https://hotels.cloudbeds.com/reservation/ItXEap,8,2.17,11
"kinlay hostel galway",6,880,20,16,0.39,1.21,https://hotels.cloudbeds.com/reservation/tadjBQ,8,2.17,10.65
"booking extranet",40,720,25,26,0.00,N/A,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/360045294933-Why-MyAllocatorByCloudBeds-was-added-as-a-user-on-my-Booking-com-extranet-,7,1.90,0
"killarney inn",5,710,24,24,0.29,0.64,https://hotels.cloudbeds.com/reservation/glTxQL,7,1.90,4.54
"travel bloggers",46,590,15,45,0.13,0.64,https://www.cloudbeds.com/articles/working-with-travel-bloggers/,5,1.36,3.78
"the haven hotel dunmore east",11,150,7,8,0.21,0.36,https://hotels.cloudbeds.com/reservation/geMfAX,5,1.36,1.89
"haven hotel dunmore",11,170,7,10,0.14,0.48,https://hotels.cloudbeds.com/reservation/geMfAX,5,1.36,2.86
"booking com extranet login",32,590,12,9,0.05,2.88,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/211857268-How-to-Connect-Booking-com-to-myfrontdesk,5,1.36,16.99
hostelbookers,33,480,23,23,0.46,1.47,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/212874477-How-to-connect-Hostelworld-Hostelbookers-to-myfrontdesk,4,1.09,7.06
"booking.com extranet",32,480,20,11,0.02,1.03,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/211857268-How-to-Connect-Booking-com-to-myfrontdesk,4,1.09,4.94
"haven hotel dunmore east",8,90,7,9,0.25,0.58,https://hotels.cloudbeds.com/reservation/geMfAX,3,0.82,1.83
"expedia partner central",40,310,28,22,0.10,1.15,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/115002690454-How-to-Match-Taxes-for-Expedia-Reservations,3,0.82,3.57
"doolin inn",12,320,24,20,0.32,0.55,https://hotels.cloudbeds.com/en/reservas/zxcHUS,3,0.82,1.76
"hotel email template",31,10,1,1,0.29,N/A,https://www.cloudbeds.com/articles/four-common-email-templates-build-better-relationships-guests/,3,0.82,0
"hotel night audit report sample",6,10,1,1,0.00,N/A,https://www.cloudbeds.com/articles/6-reports-your-hotel-should-run-every-night/,3,0.82,0
"the white house kinsale",4,390,21,23,0.21,0.98,https://hotels.cloudbeds.com/en/reservation/FxrvyS?ga_sess_id=1542511120.1591660800,3,0.82,3.82
"sheilas hostel",6,320,20,17,0.35,1.13,https://hotels.cloudbeds.com/en/reservation/2FYtdq,3,0.82,3.62
"durty nellys amsterdam",6,150,10,8,0.39,1.72,https://hotels.cloudbeds.com/reservation/sVtoMq,3,0.82,6.19
"sheilas hostel cork",6,320,16,15,0.37,1.25,https://hotels.cloudbeds.com/en/reservation/2FYtdq,3,0.82,4
"the haven hotel",6,100,7,13,0.07,0.94,https://hotels.cloudbeds.com/reservation/geMfAX,3,0.82,3.29
siargao,22,320,27,25,0.01,N/A,https://hotels.cloudbeds.com/reservation/csQeyC,3,0.82,0
"sheila's hostel cork",6,370,16,15,0.37,1.17,https://hotels.cloudbeds.com/en/reservation/2FYtdq,3,0.82,4.33
"woodquay hostel",6,210,11,7,0.34,1.53,https://hotels.cloudbeds.com/reservation/nA7sR9,2,0.54,3.21
"dunmore east hotels",7,260,24,39,0.32,0.81,https://hotels.cloudbeds.com/reservation/geMfAX,2,0.54,2.11
"haven hotel",6,250,11,32,0.14,1.34,https://hotels.cloudbeds.com/reservation/geMfAX,2,0.54,3.35
"white house kinsale",4,260,22,20,0.18,0.60,https://hotels.cloudbeds.com/en/reservation/FxrvyS?ga_sess_id=1542511120.1591660800,2,0.54,1.56
"woodquay hostel galway",6,210,11,8,0.39,2.42,https://hotels.cloudbeds.com/reservation/nA7sR9,2,0.54,5.08
