Keyword,Difficulty,"Search vol.",Position,"Previous position",Competition,CPC,URL,Traffic,"Traffic share","Traffic cost"
cloudbeds,53,1600,1,1,0.75,1.77,https://www.cloudbeds.com/,520,25.52,920.4
"dreamcatcher cabins",33,2900,5,5,0.02,N/A,https://hotels.cloudbeds.com/reservation/DW3jgr,176,8.64,0
"booking extranet",42,9900,26,26,0.01,N/A,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/360045294933-Why-MyAllocatorByCloudBeds-was-added-as-a-user-on-my-Booking-com-extranet-,99,4.86,0
"mrandmrssmith hotels",54,6600,27,25,0.11,0.67,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/360016012413-How-to-Connect-Mr-Mrs-Smith-Smith-Hotels-to-myfrontdesk,66,3.24,44.22
"mr and mrs smith hotel",55,6600,20,20,0.11,0.67,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/360016012413-How-to-Connect-Mr-Mrs-Smith-Smith-Hotels-to-myfrontdesk,66,3.24,44.22
"i esca",14,660,4,34,0.00,0.50,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/360007469314-How-to-Connect-i-escape-to-myfrontdesk,53,2.60,26.73
"expedia extranet",40,1900,9,10,0.00,N/A,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/212522067-How-to-Connect-Expedia-with-myfrontdesk,49,2.40,0
"google hotel",56,4400,24,19,0.01,0.32,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/115001097394-Is-Cloudbeds-going-to-integrate-with-Google-Hotel-Ads-,44,2.16,14.08
"homeaway login",42,4400,11,14,0.00,1.91,https://myallocator.cloudbeds.com/hc/en-us/articles/360005155193-How-to-connect-Vacation-Rentals-By-Owner-VRBO-HomeAway-with-myallocator,44,2.16,84.04
"cloud bed",31,1600,9,2,0.75,1.77,https://www.cloudbeds.com/,41,2.01,73.63
decolar,54,2400,15,19,0.02,0.03,https://myallocator.cloudbeds.com/hc/en-us/articles/115000277453-How-to-Connect-Decolar-Despegar-with-myallocator,24,1.18,0.72
"guest s",24,660,8,29,0.01,N/A,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/221677468-How-to-check-in-check-out-the-guest-s-in-myfrontdesk,20,0.98,0
"hotel reporting",22,50,1,1,0.03,N/A,https://www.cloudbeds.com/articles/6-reports-your-hotel-should-run-every-night/,16,0.79,0
"extranet booking",45,1600,27,19,0.00,2.68,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/360045294933-Why-MyAllocatorByCloudBeds-was-added-as-a-user-on-my-Booking-com-extranet-,16,0.79,42.88
"london backpackers",7,480,8,10,0.99,0.43,https://hotels.cloudbeds.com/reservation/1IeSFm,14,0.69,6.4
"process payment",55,1300,14,15,0.43,4.66,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/360040784314-How-to-Process-Payment-Through-Payment-Gateway,13,0.64,60.58
