Keyword,Difficulty,"Search vol.",Position,"Previous position",Competition,CPC,URL,Traffic,"Traffic share","Traffic cost"
homeaway,77,301000,28,21,0.08,N/A,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/219875188-How-to-Connect-Vacation-Rentals-By-Owner-VRBO-HomeAway-Calendar-Based-Channel-with-myfrontdesk,3010,16.58,0
cloudbeds,54,3900,1,1,0.70,2.65,https://www.cloudbeds.com/,1267,6.98,3358.88
"online travel agencies",58,33100,9,9,0.50,1.32,https://www.cloudbeds.com/articles/analysis-of-major-online-travel-agencies-otas/,860,4.74,1135.99
"google hotel",76,74000,27,24,0.09,0.84,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/115001097394-Is-Cloudbeds-going-to-integrate-with-Google-Hotel-Ads-,740,4.08,621.6
podshare,57,3600,2,2,0.09,0.53,https://thepodshare.cloudbeds.com/,633,3.49,335.81
"tamaracks resort",38,8100,6,6,0.01,0.55,https://hotels.cloudbeds.com/reservation/3hl0cI,356,1.96,196.02
"indiana beach campgrounds",42,2900,3,3,0.01,1.61,https://hotels.cloudbeds.com/en/reservation/lU6TSf,330,1.82,532.27
"indiana beach campground",40,2900,3,31,0.01,1.61,https://hotels.cloudbeds.com/en/reservation/lU6TSf,330,1.82,532.27
"hotel guest",8,590,1,1,0.00,N/A,https://www.cloudbeds.com/articles/types-hotel-guests/,191,1.05,0
"booking com extranet",67,18100,12,11,0.02,0.02,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/211857268-How-to-Connect-Booking-com-to-myfrontdesk,181,1.00,3.62
"login homeaway",50,5400,8,7,0.01,0.25,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/219875188-How-to-Connect-Vacation-Rentals-By-Owner-VRBO-HomeAway-Calendar-Based-Channel-with-myfrontdesk,167,0.92,41.85
"podshare los angeles",20,880,2,2,0.01,1.4,https://thepodshare.cloudbeds.com/,154,0.85,216.83
decolar,71,14800,13,12,0.05,0.02,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/228004388-How-to-Connect-Decolar-Despegar-with-myfrontdesk,148,0.82,2.96
channelmanager,46,2400,5,5,0.29,6.39,https://www.cloudbeds.com/channel-manager/,146,0.80,935.496
"cabins by the caves",38,1600,4,6,0.01,0.96,https://hotels.cloudbeds.com/reservation/lHomhj,129,0.71,124.42
"booking extranet",67,12100,23,17,0.01,1.57,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/360045294933-Why-MyAllocatorByCloudBeds-was-added-as-a-user-on-my-Booking-com-extranet-,121,0.67,189.97
"payment ledger",19,320,1,1,0.04,2.2,https://myfrontdesk.cloudbeds.com/hc/en-us/articles/218511517-Payment-Ledger-Report,104,0.57,228.8
"podshare la",26,590,2,2,0.01,N/A,https://thepodshare.cloudbeds.com/,103,0.57,0
"hotel guests",20,590,2,2,0.00,N/A,https://www.cloudbeds.com/articles/types-hotel-guests/,103,0.57,0
